customer_id,customer_name,customer_type,primary_state,region,account_manager,credit_terms,customer_since,credit_limit,rfm_segment,churn_probability
CUST0001,Sanchez-Kennedy,National Retail Chain,KY,Southeast,Crystal Robinson,Net 45,2021-05-04,100000,,
CUST0002,Davis Ltd,Regional Warehouse Distributor,UT,Southwest,Philip Cannon,Net 60,2021-09-30,500000,,
CUST0003,Henderson-Owens,Independent Jobber,IA,Midwest,Philip Cannon,Net 30,2015-05-03,50000,,
CUST0004,Valdez Lucas and Brown,E-commerce / Online,AZ,Southwest,Shannon Jones,2/10 Net 30,2020-03-09,250000,,
CUST0005,Wright and Sons,Regional Warehouse Distributor,MD,Southeast,Shannon Jones,Net 30,2023-07-16,10000,,
CUST0006,Taylor-White,Independent Jobber,DE,Southeast,Joshua Blair,Net 30,2022-04-14,25000,,
CUST0007,Baxter Inc,Regional Warehouse Distributor,MT,West,Jessica Holmes,Net 60,2021-12-14,10000,,
CUST0008,Garcia Pearson and Fernandez,Independent Jobber,WV,Southeast,Mark Perez,Net 45,2014-08-31,25000,,
CUST0009,House and Sons,Regional Warehouse Distributor,MD,Southeast,Timothy Duncan,Net 30,2017-03-30,50000,,
CUST0010,Tucker-Lewis,Regional Warehouse Distributor,IA,Midwest,Crystal Robinson,Net 45,2021-03-27,25000,,
CUST0011,Martin Inc,Regional Warehouse Distributor,AZ,Southwest,Timothy Duncan,Net 30,2021-01-20,10000,,
CUST0012,House-Glover,Independent Jobber,NE,Plains,Shannon Jones,Net 60,2019-04-08,250000,,
CUST0013,Horton-Cross,Regional Warehouse Distributor,AL,Southeast,Crystal Robinson,Net 30,2023-11-14,100000,,
CUST0014,Higgins Moore and Phillips,Regional Warehouse Distributor,AR,West,Mark Perez,Net 30,2015-05-30,500000,,
CUST0015,Fitzgerald Brown and Edwards,Independent Jobber,IL,Midwest,Jessica Holmes,Net 30,2015-04-08,100000,,
CUST0016,Woods Calhoun and Schmidt,Fleet / Commercial,MO,Midwest,Timothy Duncan,Net 60,2015-05-20,50000,,
CUST0017,Miller Lopez and Larson,Independent Jobber,SD,Plains,Joshua Blair,Net 30,2018-06-01,100000,,
CUST0018,Wilson-Zamora,Independent Jobber,MS,Southeast,Joshua Blair,Net 30,2018-08-08,10000,,
CUST0019,Wheeler Harvey and Barnes,Fleet / Commercial,ME,Northeast,Philip Cannon,Net 45,2024-05-05,10000,,
CUST0020,Mills Donovan and Harris,Regional Warehouse Distributor,SC,Southeast,Crystal Robinson,2/10 Net 30,2019-10-05,250000,,
CUST0021,Baker and Sons,Fleet / Commercial,DE,Southeast,Timothy Duncan,Net 30,2025-05-25,250000,,
CUST0022,Bryant-Hickman,Regional Warehouse Distributor,MD,Southeast,John Pierce,Net 30,2015-08-25,50000,,
CUST0023,Ellis PLC,E-commerce / Online,VA,Southeast,Crystal Robinson,Net 60,2016-02-12,25000,,
CUST0024,Medina PLC,E-commerce / Online,AR,West,John Pierce,Net 30,2018-12-04,500000,,
CUST0025,Mahoney Inc,Independent Jobber,MS,Southeast,Shannon Jones,Net 60,2018-07-27,10000,,
CUST0026,Mitchell-Kim,Independent Jobber,MN,Midwest,Joshua Blair,Net 45,2023-08-28,500000,,
CUST0027,Turner Riggs and Roman,National Retail Chain,MO,Midwest,Danny Morgan,Net 30,2023-05-31,25000,,
CUST0028,Contreras PLC,Regional Warehouse Distributor,ID,West,Joshua Blair,2/10 Net 30,2019-07-05,25000,,
CUST0029,Garcia Humphrey and Baker,Independent Jobber,IL,Midwest,Philip Cannon,Net 30,2016-03-27,50000,,
CUST0030,Tran Nelson and Jacobs,Regional Warehouse Distributor,VA,Southeast,Danny Morgan,Net 30,2020-03-31,25000,,
CUST0031,Watts LLC,Independent Jobber,OH,Midwest,Crystal Robinson,Net 30,2023-01-05,500000,,
CUST0032,King-Odonnell,Regional Warehouse Distributor,AL,Southeast,Jessica Holmes,Net 30,2015-04-12,500000,,
CUST0033,Walters LLC,Regional Warehouse Distributor,TX,Southwest,Eric Carney,Net 30,2015-03-01,100000,,
CUST0034,Cook and Sons,E-commerce / Online,KY,Southeast,Philip Cannon,Net 30,2025-04-02,100000,,
CUST0035,Martin-Ramos,Independent Jobber,CO,Southwest,Mark Perez,Net 30,2021-09-09,500000,,
CUST0036,Smith Jones and Ware,Fleet / Commercial,NV,Southwest,Eric Carney,Net 30,2016-12-13,50000,,
CUST0037,Johnson Wood and Tran,E-commerce / Online,KY,Southeast,Philip Cannon,Net 45,2021-09-22,100000,,
CUST0038,Williams LLC,Fleet / Commercial,ID,West,Crystal Robinson,Net 60,2015-02-03,25000,,
CUST0039,Clark-Wright,Regional Warehouse Distributor,IA,Midwest,Mark Perez,Net 45,2016-02-29,10000,,
CUST0040,Deleon-Henson,Independent Jobber,NM,Southwest,Shannon Jones,Net 30,2021-04-30,250000,,
CUST0041,Brady Frost and Young,Independent Jobber,NC,Southeast,Mark Perez,Net 30,2017-03-06,500000,,
CUST0042,Keith Inc,Fleet / Commercial,MS,Southeast,Crystal Robinson,2/10 Net 30,2017-06-19,10000,,
CUST0043,Middleton Patton and Jenkins,E-commerce / Online,CT,Northeast,Shane Henderson,Net 60,2018-08-21,100000,,
CUST0044,Moore-Haynes,Independent Jobber,WY,West,Philip Cannon,Net 45,2020-12-03,100000,,
CUST0045,Garrison and Sons,Independent Jobber,SC,Southeast,Joshua Blair,Net 45,2017-10-23,100000,,
CUST0046,Bailey-Hoover,Independent Jobber,IA,Midwest,Philip Cannon,Net 30,2018-04-15,250000,,
CUST0047,Johnson and Sons,E-commerce / Online,MT,West,Shane Henderson,Net 30,2021-03-11,25000,,
CUST0048,Ramirez-Jones,Independent Jobber,NE,Plains,Shane Henderson,Net 60,2019-03-01,500000,,
CUST0049,May-Ross,National Retail Chain,IL,Midwest,Shane Henderson,Net 30,2023-07-15,10000,,
CUST0050,Crosby-Wilson,Independent Jobber,FL,Southeast,Michael Lewis,Net 45,2018-11-10,100000,,
CUST0051,Carpenter LLC,E-commerce / Online,GA,Southeast,Joshua Blair,Net 60,2015-01-24,25000,,
CUST0052,Carlson LLC,Independent Jobber,MA,Northeast,Michael Lewis,2/10 Net 30,2019-10-02,250000,,
CUST0053,Obrien-Dixon,Independent Jobber,NC,Southeast,John Pierce,Net 45,2020-12-19,10000,,
CUST0054,Lee Williams and Graham,National Retail Chain,NE,Plains,Shane Henderson,Net 30,2023-04-05,50000,,
CUST0055,Mcdaniel Bentley and Mclaughlin,Independent Jobber,GA,Southeast,Joshua Blair,Net 30,2017-10-07,50000,,
CUST0056,Reynolds-Rush,E-commerce / Online,AR,West,Timothy Duncan,Net 30,2020-01-12,500000,,
CUST0057,Edwards Charles and Cortez,Independent Jobber,AL,Southeast,Joshua Blair,Net 30,2019-07-11,250000,,
CUST0058,Parker Ortiz and Powell,Regional Warehouse Distributor,SC,Southeast,Mark Perez,Net 30,2019-06-12,100000,,
CUST0059,Martinez Fisher and Bentley,Independent Jobber,TX,Southwest,Mark Perez,Net 30,2017-05-17,500000,,
CUST0060,Carroll Sullivan and Bass,National Retail Chain,NM,Southwest,Shane Henderson,Net 30,2019-08-02,100000,,
CUST0061,Clark-Floyd,Independent Jobber,ME,Northeast,Timothy Duncan,Net 45,2024-09-25,100000,,
CUST0062,Morris Ramos and Lowe,National Retail Chain,MN,Midwest,Eric Carney,Net 45,2023-02-10,50000,,
CUST0063,Leon-Moyer,Fleet / Commercial,VT,Northeast,Joshua Blair,Net 45,2017-04-20,10000,,
CUST0064,Miller Robertson and Schultz,Independent Jobber,OH,Midwest,Michael Lewis,Net 45,2020-02-12,25000,,
CUST0065,Cardenas and Sons,Regional Warehouse Distributor,KS,Plains,John Pierce,2/10 Net 30,2019-09-11,250000,,
CUST0066,Drake and Sons,Independent Jobber,CT,Northeast,Timothy Duncan,Net 30,2014-10-30,250000,,
CUST0067,Sanchez Group,Independent Jobber,AZ,Southwest,Timothy Duncan,Net 30,2024-10-24,25000,,
CUST0068,Gibson Ltd,Independent Jobber,CA,West,Shane Henderson,Net 30,2024-03-17,100000,,
CUST0069,Higgins Group,National Retail Chain,ME,Northeast,Eric Carney,Net 30,2022-10-28,500000,,
CUST0070,Sanchez-Douglas,Independent Jobber,NM,Southwest,Philip Cannon,Net 30,2014-07-05,10000,,
CUST0071,Osborne and Sons,E-commerce / Online,AR,West,Joshua Blair,Net 30,2017-05-28,50000,,
CUST0072,Holmes Williams and Wright,National Retail Chain,VA,Southeast,Eric Carney,Net 30,2016-06-24,10000,,
CUST0073,Anderson-Marshall,Regional Warehouse Distributor,CT,Northeast,Eric Carney,Net 30,2023-06-14,100000,,
CUST0074,Larson Dodson and Vance,Independent Jobber,MS,Southeast,John Pierce,Net 30,2024-11-01,500000,,
CUST0075,Mcclain Simmons and Meadows,National Retail Chain,NY,Northeast,Eric Carney,Net 30,2021-12-31,25000,,
CUST0076,Manning Group,E-commerce / Online,AR,West,Shannon Jones,Net 30,2022-01-26,25000,,
CUST0077,Walton-Larsen,Independent Jobber,AL,Southeast,Crystal Robinson,Net 30,2019-02-18,100000,,
CUST0078,Washington Allen and Gonzales,Independent Jobber,TN,Southeast,John Pierce,Net 45,2019-04-11,25000,,
CUST0079,Nelson LLC,Regional Warehouse Distributor,NY,Northeast,John Pierce,Net 30,2023-08-09,25000,,
CUST0080,Taylor and Sons,Independent Jobber,LA,West,Jessica Holmes,Net 45,2020-12-06,50000,,
CUST0081,Hernandez Lewis and Perry,Regional Warehouse Distributor,DE,Southeast,Mark Perez,Net 45,2020-01-17,250000,,
CUST0082,Owens Brown and Wall,Regional Warehouse Distributor,NE,Plains,Philip Cannon,Net 60,2021-01-15,50000,,
CUST0083,Shah Smith and Gilmore,Fleet / Commercial,AZ,Southwest,Timothy Duncan,Net 30,2024-03-17,100000,,
CUST0084,Woods-Bender,Regional Warehouse Distributor,NV,Southwest,Jessica Holmes,Net 45,2019-06-30,25000,,
CUST0085,Castaneda-Ashley,Regional Warehouse Distributor,MO,Midwest,Michael Lewis,Net 30,2021-07-17,500000,,
CUST0086,Adkins Payne and Morrison,Independent Jobber,WV,Southeast,Philip Cannon,Net 60,2018-03-02,10000,,
CUST0087,Robinson-Graham,Independent Jobber,MT,West,Jessica Holmes,Net 60,2014-11-28,500000,,
CUST0088,Rogers-Shelton,Fleet / Commercial,MO,Midwest,Shannon Jones,Net 30,2021-04-17,500000,,
CUST0089,Martin Mcdonald and Anderson,Independent Jobber,AZ,Southwest,Timothy Duncan,Net 30,2024-12-31,250000,,
CUST0090,Johnson Long and Elliott,E-commerce / Online,IA,Midwest,Mark Perez,Net 30,2014-11-16,500000,,
CUST0091,Day and Sons,Independent Jobber,LA,West,Timothy Duncan,Net 30,2022-04-08,25000,,
CUST0092,Williams Group,Independent Jobber,PA,Northeast,Shannon Jones,Net 30,2019-12-26,100000,,
CUST0093,Gibson LLC,Independent Jobber,ND,Plains,Crystal Robinson,Net 60,2020-11-11,50000,,
CUST0094,Walton-Decker,Fleet / Commercial,TN,Southeast,Mark Perez,Net 45,2018-09-15,25000,,
CUST0095,Ruiz Ltd,Regional Warehouse Distributor,LA,West,Joshua Blair,Net 30,2023-08-04,25000,,
CUST0096,Cooke LLC,Independent Jobber,NM,Southwest,Danny Morgan,Net 60,2018-03-25,100000,,
CUST0097,Jones Bernard and Williams,National Retail Chain,FL,Southeast,Eric Carney,2/10 Net 30,2014-12-10,100000,,
CUST0098,Gonzalez Inc,Regional Warehouse Distributor,MO,Midwest,Joshua Blair,Net 30,2024-12-25,50000,,
CUST0099,Allen Group,Regional Warehouse Distributor,MS,Southeast,Timothy Duncan,Net 45,2016-05-11,50000,,
CUST0100,Gould Marshall and Scott,Independent Jobber,OK,Plains,Eric Carney,Net 30,2020-09-09,10000,,
CUST0101,Obrien Ltd,Independent Jobber,MT,West,Shannon Jones,Net 30,2016-05-12,25000,,
CUST0102,Oconnell Inc,Fleet / Commercial,UT,Southwest,Crystal Robinson,Net 30,2024-04-04,50000,,
CUST0103,Hickman PLC,Regional Warehouse Distributor,NY,Northeast,Timothy Duncan,2/10 Net 30,2020-10-19,100000,,
CUST0104,David-Gonzalez,Independent Jobber,AZ,Southwest,Jessica Holmes,Net 60,2024-06-27,25000,,
CUST0105,Rivas Sanchez and Terry,Regional Warehouse Distributor,NM,Southwest,Jessica Holmes,Net 30,2019-07-18,10000,,
CUST0106,Burke Martinez and Riggs,Independent Jobber,NC,Southeast,Shannon Jones,Net 45,2015-02-11,25000,,
CUST0107,Patel-Stanley,Regional Warehouse Distributor,NV,Southwest,Michael Lewis,Net 30,2015-08-03,50000,,
CUST0108,Holland Smith and Fisher,Independent Jobber,ND,Plains,Michael Lewis,Net 30,2022-10-03,50000,,
CUST0109,Hamilton LLC,Fleet / Commercial,MA,Northeast,Shannon Jones,Net 45,2025-03-24,250000,,
CUST0110,Zimmerman-Graham,E-commerce / Online,AZ,Southwest,Shane Henderson,Net 60,2023-04-17,100000,,
CUST0111,Nelson Morton and Medina,Independent Jobber,NE,Plains,Shannon Jones,2/10 Net 30,2022-08-22,500000,,
CUST0112,Graham-Simon,Independent Jobber,SD,Plains,Crystal Robinson,Net 30,2018-12-24,25000,,
CUST0113,Christian-Rivas,Independent Jobber,NV,Southwest,Philip Cannon,Net 30,2015-11-21,10000,,
CUST0114,Keith-Sanchez,Fleet / Commercial,UT,Southwest,Michael Lewis,2/10 Net 30,2022-04-27,25000,,
CUST0115,Bishop Gray and Johnson,Fleet / Commercial,MS,Southeast,Philip Cannon,Net 30,2019-12-11,250000,,
CUST0116,Freeman LLC,E-commerce / Online,MO,Midwest,John Pierce,Net 30,2018-10-23,100000,,
CUST0117,Ramirez-Carlson,Independent Jobber,MO,Midwest,Danny Morgan,Net 30,2019-02-11,250000,,
CUST0118,Smith Vaughan and Miller,Regional Warehouse Distributor,NM,Southwest,Mark Perez,Net 60,2021-04-30,25000,,
CUST0119,Peters-Allen,Independent Jobber,MD,Southeast,Michael Lewis,Net 30,2022-07-07,250000,,
CUST0120,Joseph West and Smith,Fleet / Commercial,NC,Southeast,Shane Henderson,Net 30,2019-06-03,25000,,
CUST0121,Sullivan and Sons,Independent Jobber,DE,Southeast,Joshua Blair,Net 45,2019-08-16,500000,,
CUST0122,Perkins Kennedy and Schmidt,E-commerce / Online,OH,Midwest,Eric Carney,Net 45,2021-08-26,10000,,
CUST0123,Pierce Bell and Chavez,Independent Jobber,MS,Southeast,Joshua Blair,Net 30,2019-08-19,25000,,
CUST0124,Hall-Griffith,National Retail Chain,KY,Southeast,Mark Perez,Net 45,2019-10-13,25000,,
CUST0125,Newton Ltd,Independent Jobber,DE,Southeast,Mark Perez,Net 45,2017-07-25,10000,,
CUST0126,Robinson Group,Independent Jobber,TN,Southeast,Mark Perez,Net 30,2019-02-13,250000,,
CUST0127,Lawrence Wolf and Carlson,Fleet / Commercial,MD,Southeast,Michael Lewis,Net 60,2016-02-15,25000,,
CUST0128,Phillips LLC,Regional Warehouse Distributor,KS,Plains,Joshua Blair,Net 60,2017-06-20,25000,,
CUST0129,Smith-Ferguson,National Retail Chain,MI,Midwest,John Pierce,Net 30,2019-01-30,500000,,
CUST0130,Mccann PLC,Independent Jobber,VT,Northeast,Eric Carney,Net 45,2019-05-21,250000,,
CUST0131,Raymond Little and Mullins,National Retail Chain,CO,Southwest,Timothy Duncan,Net 45,2016-02-28,500000,,
CUST0132,Andrews Group,Fleet / Commercial,MT,West,Timothy Duncan,2/10 Net 30,2022-07-23,10000,,
CUST0133,Peterson-Sheppard,Independent Jobber,MO,Midwest,Philip Cannon,Net 45,2018-09-16,50000,,
CUST0134,Wilson-Jones,Fleet / Commercial,GA,Southeast,Jessica Holmes,Net 30,2022-10-12,100000,,
CUST0135,Ray Ltd,Regional Warehouse Distributor,NV,Southwest,Philip Cannon,Net 30,2015-04-30,500000,,
CUST0136,Hernandez PLC,Fleet / Commercial,MA,Northeast,John Pierce,Net 60,2019-08-01,10000,,
CUST0137,Mcknight Inc,E-commerce / Online,NM,Southwest,Jessica Holmes,Net 60,2023-11-28,25000,,
CUST0138,Obrien-Gibbs,Independent Jobber,AL,Southeast,Eric Carney,Net 30,2018-04-03,10000,,
CUST0139,James Kerr and Evans,Independent Jobber,ME,Northeast,Danny Morgan,Net 30,2024-06-04,250000,,
CUST0140,Torres-Oliver,Independent Jobber,WY,West,Timothy Duncan,Net 30,2024-10-14,10000,,
CUST0141,Garcia Farmer and Garrett,Regional Warehouse Distributor,NE,Plains,John Pierce,Net 45,2018-12-01,10000,,
CUST0142,Miller Allen and Arnold,Regional Warehouse Distributor,SD,Plains,John Pierce,Net 60,2017-01-28,25000,,
CUST0143,Ortiz Ltd,Fleet / Commercial,VT,Northeast,John Pierce,Net 30,2024-07-07,250000,,
CUST0144,Carter-Hall,National Retail Chain,MT,West,Danny Morgan,Net 45,2019-03-23,100000,,
CUST0145,Heath Jones and Hall,E-commerce / Online,MA,Northeast,Shannon Jones,Net 45,2018-11-30,25000,,
CUST0146,Lawrence Lara and Gonzalez,Regional Warehouse Distributor,VT,Northeast,John Pierce,Net 45,2016-05-14,100000,,
CUST0147,Walker Hernandez and Baker,E-commerce / Online,IA,Midwest,Shannon Jones,Net 30,2016-10-31,10000,,
CUST0148,Brown LLC,Independent Jobber,TN,Southeast,Eric Carney,2/10 Net 30,2024-07-15,25000,,
CUST0149,Holloway Morse and Gonzales,Fleet / Commercial,ID,West,Shannon Jones,Net 30,2022-05-22,10000,,
CUST0150,Torres Powell and Nelson,Regional Warehouse Distributor,SD,Plains,Mark Perez,Net 45,2023-08-08,500000,,
CUST0151,Kim-George,Independent Jobber,VA,Southeast,Jessica Holmes,Net 30,2021-10-06,500000,,
CUST0152,Morris Wright and Davis,Regional Warehouse Distributor,ID,West,Timothy Duncan,Net 30,2024-03-14,100000,,
CUST0153,Sampson Key and Chambers,Regional Warehouse Distributor,WV,Southeast,Crystal Robinson,Net 30,2018-12-31,100000,,
CUST0154,Williams Avila and Ruiz,Fleet / Commercial,MI,Midwest,Crystal Robinson,Net 30,2021-12-08,10000,,
CUST0155,White-Richards,Independent Jobber,PA,Northeast,Michael Lewis,Net 45,2025-03-19,250000,,
CUST0156,Costa-Harrison,Independent Jobber,OH,Midwest,John Pierce,Net 45,2021-05-12,250000,,
CUST0157,Morris-Garcia,Regional Warehouse Distributor,GA,Southeast,Shane Henderson,Net 30,2017-02-24,500000,,
CUST0158,Jenkins-Simpson,Regional Warehouse Distributor,IN,Midwest,Shane Henderson,Net 45,2021-03-24,100000,,
CUST0159,Johnson Miller and King,Regional Warehouse Distributor,OH,Midwest,Shane Henderson,Net 45,2016-05-21,50000,,
CUST0160,Hancock-Bryan,E-commerce / Online,VT,Northeast,Joshua Blair,Net 30,2014-06-08,10000,,
CUST0161,Booth Murray and Brown,E-commerce / Online,DE,Southeast,Michael Lewis,Net 30,2023-03-27,250000,,
CUST0162,Dean-Jimenez,Independent Jobber,MI,Midwest,Michael Lewis,Net 30,2021-12-07,50000,,
CUST0163,Harris PLC,Fleet / Commercial,CA,West,Jessica Holmes,Net 45,2016-08-23,25000,,
CUST0164,Kim-Wolfe,National Retail Chain,IN,Midwest,Eric Carney,2/10 Net 30,2016-06-24,100000,,
CUST0165,Dudley PLC,Independent Jobber,MN,Midwest,Jessica Holmes,Net 45,2018-06-26,100000,,
CUST0166,Moore Pierce and Tran,E-commerce / Online,IA,Midwest,Joshua Blair,Net 45,2016-01-01,250000,,
CUST0167,Gay Inc,Independent Jobber,KS,Plains,Michael Lewis,Net 30,2022-04-07,25000,,
CUST0168,Holland and Sons,Regional Warehouse Distributor,GA,Southeast,Eric Carney,Net 45,2022-11-22,25000,,
CUST0169,Carter Thornton and Perry,Regional Warehouse Distributor,WA,West,Danny Morgan,Net 45,2022-08-16,25000,,
CUST0170,Sanchez-Arnold,E-commerce / Online,SC,Southeast,John Pierce,Net 30,2020-12-09,100000,,
CUST0171,Weeks PLC,Regional Warehouse Distributor,RI,Northeast,Timothy Duncan,Net 30,2016-09-26,500000,,
CUST0172,Hill Group,Regional Warehouse Distributor,ND,Plains,Crystal Robinson,Net 30,2020-03-12,100000,,
CUST0173,Adams Smith and Barber,Regional Warehouse Distributor,WA,West,Shannon Jones,Net 45,2024-05-26,10000,,
CUST0174,Duarte Burns and Hernandez,Independent Jobber,FL,Southeast,Michael Lewis,Net 30,2023-07-30,10000,,
CUST0175,Reed-Arnold,Independent Jobber,LA,West,Shane Henderson,Net 60,2023-08-29,500000,,
CUST0176,Gibson-Morris,Independent Jobber,MI,Midwest,Mark Perez,Net 30,2017-08-16,500000,,
CUST0177,Allen Reyes and Chase,Independent Jobber,TX,Southwest,Jessica Holmes,Net 45,2021-05-27,500000,,
CUST0178,Flores Group,Independent Jobber,MA,Northeast,Joshua Blair,Net 45,2020-11-24,50000,,
CUST0179,Mcneil-Sparks,Fleet / Commercial,MS,Southeast,Joshua Blair,Net 30,2017-01-01,100000,,
CUST0180,Hanna-Martinez,Independent Jobber,ID,West,Danny Morgan,2/10 Net 30,2024-06-15,10000,,
CUST0181,Kane-Sawyer,Independent Jobber,AL,Southeast,Danny Morgan,Net 45,2021-11-26,50000,,
CUST0182,Fox Group,Fleet / Commercial,AL,Southeast,Philip Cannon,2/10 Net 30,2014-09-04,100000,,
CUST0183,Thomas Pitts and Booker,Independent Jobber,MN,Midwest,Philip Cannon,Net 45,2015-09-08,10000,,
CUST0184,Harrington-Baker,Independent Jobber,MN,Midwest,Jessica Holmes,Net 30,2025-01-06,50000,,
CUST0185,Sanders Miller and Murphy,Regional Warehouse Distributor,TX,Southwest,Timothy Duncan,Net 45,2023-06-29,100000,,
CUST0186,Finley-Sims,Independent Jobber,OR,West,Shane Henderson,Net 60,2022-09-19,500000,,
CUST0187,Johnson Jones and Welch,National Retail Chain,ND,Plains,Crystal Robinson,Net 30,2019-04-21,50000,,
CUST0188,Francis Group,Independent Jobber,MN,Midwest,Crystal Robinson,Net 30,2016-02-02,500000,,
CUST0189,Padilla Garcia and Jackson,Fleet / Commercial,ND,Plains,Crystal Robinson,Net 30,2019-07-05,250000,,
CUST0190,Williams Inc,Independent Jobber,SD,Plains,Joshua Blair,Net 30,2019-05-28,500000,,
CUST0191,Brooks-Thomas,National Retail Chain,MS,Southeast,Michael Lewis,Net 45,2023-06-14,10000,,
CUST0192,Knight-Sparks,Independent Jobber,IL,Midwest,Joshua Blair,Net 30,2017-04-22,25000,,
CUST0193,Miller Group,Independent Jobber,IA,Midwest,John Pierce,Net 60,2024-12-15,250000,,
CUST0194,Allen Durham and Thomas,Independent Jobber,VT,Northeast,Eric Carney,Net 30,2022-04-05,250000,,
CUST0195,King Scott and Smith,National Retail Chain,IA,Midwest,Timothy Duncan,Net 30,2022-04-30,50000,,
CUST0196,Byrd-Moore,Independent Jobber,LA,West,Michael Lewis,Net 45,2021-12-05,25000,,
CUST0197,Huerta-Evans,Regional Warehouse Distributor,KY,Southeast,Timothy Duncan,2/10 Net 30,2021-08-19,25000,,
CUST0198,Wright Bruce and Gonzalez,Regional Warehouse Distributor,UT,Southwest,Shannon Jones,Net 60,2020-12-16,250000,,
CUST0199,Rodriguez-James,National Retail Chain,MS,Southeast,Joshua Blair,Net 30,2020-07-09,100000,,
CUST0200,Phillips Lyons and Johnson,Independent Jobber,VT,Northeast,Shane Henderson,Net 30,2021-02-23,100000,,
